,Date,Blues,Rock,Pop,HipHop,R&B,Country,Folk,Reggae,Electro,Religous
0,1958-08-04,13,19,21,2,6,15,3,1,0,0
1,1958-08-11,13,18,16,2,6,20,3,0,2,0
2,1958-08-18,15,14,15,1,6,16,2,0,1,0
3,1958-08-25,13,15,17,2,5,18,2,0,1,0
4,1958-09-01,11,17,20,2,5,17,2,0,1,0
5,1958-09-08,12,16,17,2,5,22,2,0,1,0
6,1958-09-15,10,18,16,2,7,20,3,0,1,0
7,1958-09-22,11,18,17,2,6,18,2,0,1,0
8,1958-09-29,10,15,21,3,4,16,3,0,0,0
9,1958-10-06,8,16,22,3,5,14,3,0,0,0
10,1958-10-13,8,14,24,4,3,15,3,0,0,0
11,1958-10-20,10,13,22,3,3,17,3,0,0,0
12,1958-10-27,11,13,25,3,2,14,3,0,0,0
13,1958-11-03,13,14,23,3,3,13,3,0,0,0
14,1958-11-10,12,16,22,3,3,14,3,0,0,0
15,1958-11-17,11,19,23,2,4,11,3,0,0,0
16,1958-11-24,13,17,19,3,4,13,2,0,0,0
17,1958-12-01,11,19,21,2,3,12,2,0,0,0
18,1958-12-08,12,20,18,1,5,12,2,0,0,0
19,1958-12-15,12,22,19,2,5,12,2,0,0,0
20,1958-12-22,11,18,18,3,7,14,2,0,0,0
21,1958-12-29,10,20,19,3,6,14,3,0,0,0
22,1959-01-05,11,17,22,3,6,15,1,0,0,1
23,1959-01-12,10,16,20,3,5,15,2,0,0,1
24,1959-01-19,9,17,20,5,5,15,3,0,0,1
25,1959-01-26,11,15,22,6,5,15,3,0,0,1
26,1959-02-02,11,16,22,5,5,13,3,0,0,1
27,1959-02-09,10,16,21,5,6,13,4,0,0,1
28,1959-02-16,8,18,23,6,6,12,4,0,0,1
29,1959-02-23,9,17,24,6,7,13,3,0,0,1
30,1959-03-02,11,19,22,6,7,12,3,0,0,1
31,1959-03-09,11,22,23,5,7,11,3,0,0,1
32,1959-03-16,10,24,24,4,6,11,2,0,0,1
33,1959-03-23,12,22,20,6,7,9,4,0,0,1
34,1959-03-30,10,21,23,6,6,11,3,0,0,1
35,1959-04-06,10,22,22,7,7,10,3,0,0,1
36,1959-04-13,9,20,20,7,7,9,3,0,0,2
37,1959-04-20,11,19,21,8,6,9,3,0,0,1
38,1959-04-27,9,17,19,5,8,12,3,0,0,2
39,1959-05-04,8,16,21,3,6,14,2,0,0,2
40,1959-05-11,9,21,19,4,6,12,2,0,0,1
41,1959-05-18,9,22,19,3,5,12,2,1,0,1
42,1959-05-25,9,21,18,3,5,11,2,1,0,1
43,1959-06-01,13,16,17,3,5,13,1,0,0,1
44,1959-06-08,13,17,18,3,6,11,1,0,0,1
45,1959-06-15,12,18,18,2,6,11,2,0,0,1
46,1959-06-22,12,18,18,1,6,9,2,1,0,1
47,1959-06-29,12,17,19,2,5,9,2,1,0,0
48,1959-07-06,12,16,18,2,5,9,2,1,0,1
49,1959-07-13,12,17,15,1,5,11,3,1,0,1
50,1959-07-20,12,17,15,2,5,12,3,1,0,1
51,1959-07-27,12,16,14,2,5,13,3,1,1,1
52,1959-08-03,12,15,13,2,6,16,2,1,1,1
53,1959-08-10,11,16,13,1,6,18,2,1,1,1
54,1959-08-17,9,15,14,1,7,20,2,1,1,1
55,1959-08-24,11,14,12,1,6,22,1,1,1,1
56,1959-08-31,9,15,13,1,5,21,0,1,1,1
57,1959-09-07,11,14,13,1,6,20,0,1,1,1
58,1959-09-14,11,13,15,1,6,20,1,1,1,1
59,1959-09-21,11,13,16,1,9,17,1,1,1,0
60,1959-09-28,12,9,17,1,11,17,1,1,1,0
61,1959-10-05,12,13,16,0,12,17,1,1,1,0
62,1959-10-12,12,14,17,1,12,17,1,0,1,0
63,1959-10-19,10,15,19,1,10,14,1,0,1,0
64,1959-10-26,9,15,19,1,11,12,1,0,1,2
65,1959-11-02,10,17,17,1,10,13,1,1,1,1
66,1959-11-09,11,15,14,2,11,14,1,1,1,2
67,1959-11-16,12,16,13,1,9,13,1,1,1,1
68,1959-11-23,13,18,16,0,7,11,1,1,1,1
69,1959-11-30,12,19,17,0,8,9,1,1,1,1
70,1959-12-07,15,17,17,0,7,8,1,0,1,1
71,1959-12-14,15,16,18,1,8,8,2,0,1,1
72,1959-12-21,15,18,21,1,7,8,0,0,1,1
73,1959-12-28,12,15,23,1,7,12,1,0,1,1
74,1960-01-04,10,17,19,1,9,16,1,0,1,1
75,1960-01-11,10,17,19,2,10,15,1,0,1,1
76,1960-01-18,8,18,17,2,8,18,1,0,2,1
77,1960-01-25,8,16,15,2,8,19,1,0,2,1
78,1960-02-01,9,20,15,2,7,17,1,0,2,1
79,1960-02-08,9,16,17,2,8,16,1,0,2,1
80,1960-02-15,8,17,16,1,7,16,1,0,1,1
81,1960-02-22,9,16,19,1,7,15,3,0,1,2
82,1960-02-29,8,17,19,1,7,15,2,0,2,1
83,1960-03-07,7,17,17,1,8,15,2,0,2,1
84,1960-03-14,9,16,15,1,7,17,2,0,3,1
85,1960-03-21,11,17,16,1,8,15,2,0,3,1
86,1960-03-28,11,14,17,2,7,18,2,0,3,1
87,1960-04-04,11,15,20,2,8,16,2,1,2,1
88,1960-04-11,12,13,20,2,7,17,2,1,2,1
89,1960-04-18,11,12,20,2,8,18,2,1,2,1
90,1960-04-25,11,15,20,2,8,18,2,1,2,1
91,1960-05-02,13,17,19,2,8,17,2,1,2,1
92,1960-05-09,12,18,20,2,10,17,1,1,1,1
93,1960-05-16,12,18,17,3,11,16,1,1,0,0
94,1960-05-23,14,19,19,3,9,13,1,1,0,0
95,1960-05-30,15,20,19,3,8,13,1,1,0,0
96,1960-06-06,14,19,21,3,8,12,0,1,0,1
97,1960-06-13,14,17,21,3,6,12,0,1,0,1
