,Rank,MostWeeksWithSongsAtTopCharts,MostWeeksWithSongsInTop3Charts,MostWeeksWithSongsInTop10Charts,MostWeeksWithSongsInTop100Charts
0,1,Mariah Carey : 76,Mariah Carey : 131,Mariah Carey : 247,Drake : 920
1,2,The Beatles : 54,The Beatles : 116,Madonna : 225,Madonna : 883
2,3,Drake : 39,Madonna : 92,The Beatles : 203,Taylor Swift : 882
3,4,Usher : 34,Usher : 87,Usher : 169,Elton John : 867
4,5,Boyz Ii Men : 34,Drake : 79,Whitney Houston : 168,Kenny Chesney : 734
5,6,Madonna : 32,Bruno Mars : 72,Bruno Mars : 164,Tim Mcgraw : 722
6,7,Whitney Houston : 31,Whitney Houston : 68,Rihanna : 155,Mariah Carey : 653
7,8,Rihanna  : 28,Boyz Ii Men : 60,Janet Jackson : 148,Stevie Wonder : 640
8,9,The Black Eyed Peas : 28,Janet Jackson : 58,Taylor Swift : 140,Keith Urban : 638
9,10,Elton John : 27,Tlc : 52,Drake : 139,Whitney Houston : 626
