,Rank,MostWeeksAtTopCharts,MostWeeksInTop3Charts,MostWeeksInTop10Charts,MostWeeksInTop100Charts
0,1,One Sweet Day By Mariah Carey &amp; Boyz II Men : 16,God's Plan By Drake : 19,Shape Of You By Ed Sheeran : 32,Radioactive By Imagine Dragons : 86
1,2,Despacito By Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber : 16,Closer By The Chainsmokers Featuring Halsey : 19,Girls Like You By Maroon 5 Featuring Cardi B : 32,Sail By AWOLNATION : 77
2,3,We Belong Together By Mariah Carey : 14,Despacito By Luis Fonsi &amp; Daddy Yankee Featuring Justin Bieber : 19,Sicko Mode By Travis Scott : 32,I'm Yours By Jason Mraz : 75
3,4,I'll Make Love To You By Boyz II Men : 14,Smooth By Santana Featuring Rob Thomas : 18,How Do I Live By LeAnn Rimes : 31,How Do I Live By LeAnn Rimes : 67
4,5,Candle In The Wind 1997/Something About The Way You Look Tonight By Elton John : 14,We Belong Together By Mariah Carey : 18,Closer By The Chainsmokers Featuring Halsey : 30,Counting Stars By OneRepublic : 66
5,6,Uptown Funk! By Mark Ronson Featuring Bruno Mars : 14,Un-Break My Heart By Toni Braxton : 18,Foolish Games/You Were Meant For Me By Jewel : 28,Foolish Games/You Were Meant For Me By Jewel : 64
6,7,I Will Always Love You By Whitney Houston : 14,Uptown Funk! By Mark Ronson Featuring Bruno Mars : 18,Uptown Funk! By Mark Ronson Featuring Bruno Mars : 28,Before He Cheats By Carrie Underwood : 63
7,8,Macarena (Bayside Boys Mix) By Los Del Rio : 13,Girls Like You By Maroon 5 Featuring Cardi B : 17,Without Me By Halsey : 28,Rolling In The Deep By Adele : 62
8,9,I Gotta Feeling By The Black Eyed Peas : 13,That's What I Like By Bruno Mars : 17,Smooth By Santana Featuring Rob Thomas : 26,Ho Hey By The Lumineers : 60
9,10,"End Of The Road (From ""Boomerang"") By Boyz II Men : 13",All About That Bass By Meghan Trainor : 16,Sunflower (Spider-Man: Into The Spider-Verse) By Post Malone &amp; Swae Lee : 26,Party Rock Anthem By LMFAO Featuring Lauren Bennett &amp; GoonRock : 60
