"","Word","Freq"
"love","love",41194
"baby","baby",24864
"now","now",15140
"yeah","yeah",12562
"like","like",11568
"time","time",10944
"say","say",10137
"come","come",9465
"one","one",9395
"never","never",8735
"gonna","gonna",8403
"make","make",8171
"want","want",8139
"hey","hey",7867
"man","man",7045
"cause","cause",6877
"way","way",6877
"little","little",6855
"girl","girl",6847
"away","away",6593
"back","back",6564
"feel","feel",6548
"need","need",6412
"heart","heart",6395
"give","give",5948
"night","night",5882
"aint","aint",5630
"good","good",5545
"right","right",5246
"world","world",5108
"day","day",5089
"life","life",4987
"long","long",4698
"wanna","wanna",4698
"every","every",4575
"around","around",4491
"home","home",4238
"said","said",4198
"thing","thing",4071
"still","still",3915
"sweet","sweet",3848
"hold","hold",3844
"rock","rock",3802
"things","things",3709
"cry","cry",3615
"made","made",3610
"mind","mind",3549
"ever","ever",3462
"yes","yes",3415
"stay","stay",3404
"please","please",3395
"think","think",3306
"always","always",3292
"stop","stop",3265
"look","look",3178
"jump","jump",3092
"ooh","ooh",3070
"tonight","tonight",2972
"eyes","eyes",2972
"hear","hear",2824
"really","really",2824
"leave","leave",2768
"doo","doo",2658
"people","people",2650
"gotta","gotta",2637
"better","better",2632
"kiss","kiss",2621
"woman","woman",2617
"mama","mama",2498
"call","call",2493
"nothing","nothing",2466
"find","find",2441
"lonely","lonely",2433
"believe","believe",2428
"soul","soul",2383
"true","true",2344
"mine","mine",2330
"gone","gone",2286
"remember","remember",2278
"stand","stand",2249
"alone","alone",2201
"work","work",2171
"ready","ready",2163
"darling","darling",2118
"boy","boy",2109
"loves","loves",2103
"something","something",2099
"happy","happy",2050
"hand","hand",2046
"big","big",2031
"without","without",2028
"found","found",2027
"bad","bad",2018
"dance","dance",2013
"together","together",1991
"song","song",1960
"another","another",1941
"walk","walk",1936
"door","door",1925
"somebody","somebody",1921
"everything","everything",1860
"face","face",1860
"needs","needs",1833
"play","play",1832
"dream","dream",1829
"going","going",1822
"hard","hard",1811
"help","help",1800
"turn","turn",1780
"wrong","wrong",1772
"arms","arms",1771
"music","music",1765
"fool","fool",1747
"loving","loving",1724
"girls","girls",1712
"put","put",1708
"new","new",1706
"talk","talk",1702
"sun","sun",1699
"knew","knew",1694
"everybody","everybody",1691
"care","care",1673
"old","old",1655
"last","last",1648
"enough","enough",1646
"place","place",1645
"worry","worry",1644
"lost","lost",1641
"loved","loved",1635
"crazy","crazy",1634
"street","street",1629
"hurt","hurt",1622
"may","may",1614
"free","free",1613
"tears","tears",1604
"must","must",1603
"end","end",1602
"light","light",1593
"two","two",1580
"though","though",1576
"show","show",1576
"name","name",1572
"move","move",1567
"heaven","heaven",1564
"many","many",1562
"used","used",1561
"even","even",1554
"since","since",1554
"someone","someone",1542
"honey","honey",1539
"lady","lady",1538
"change","change",1537
"fall","fall",1536
"wait","wait",1529
"miss","miss",1523
"told","told",1521
"lifting","lifting",1519
"bout","bout",1517
