"","Word","Freq"
"love","love",44564
"like","like",26461
"baby","baby",19455
"now","now",17484
"one","one",16999
"time","time",16081
"never","never",15174
"way","way",14900
"yeah","yeah",14754
"gonna","gonna",14465
"back","back",14283
"night","night",13654
"little","little",12309
"said","said",12161
"man","man",11983
"want","want",11544
"girl","girl",11493
"say","say",11221
"come","come",11186
"life","life",11119
"right","right",11074
"heart","heart",10937
"make","make",10446
"cause","cause",10284
"day","day",9975
"away","away",9907
"good","good",9854
"feel","feel",9434
"aint","aint",9272
"think","think",9073
"need","need",9047
"give","give",9014
"wanna","wanna",8482
"still","still",7937
"long","long",7918
"every","every",7831
"home","home",7628
"world","world",7563
"around","around",7310
"gone","gone",7299
"old","old",7253
"look","look",7229
"ever","ever",7094
"eyes","eyes",7029
"find","find",6541
"thing","thing",6262
"better","better",5992
"always","always",5666
"big","big",5643
"boy","boy",5480
"stop","stop",5446
"things","things",5267
"another","another",5089
"leave","leave",4591
"mind","mind",4556
"run","run",4554
"sun","sun",4529
"going","going",4511
"tonight","tonight",4438
"hey","hey",4428
"without","without",4400
"everything","everything",4353
"gotta","gotta",4348
"kiss","kiss",4339
"hold","hold",4260
"really","really",4244
"left","left",4199
"alone","alone",4125
"town","town",4051
"live","live",4020
"something","something",4014
"blue","blue",3924
"sweet","sweet",3883
"lost","lost",3833
"woman","woman",3772
"please","please",3727
"believe","believe",3645
"place","place",3632
"help","help",3585
"wrong","wrong",3576
"turn","turn",3545
"might","might",3536
"try","try",3511
"put","put",3502
"cry","cry",3496
"made","made",3491
"even","even",3490
"change","change",3489
"nothing","nothing",3487
"hear","hear",3483
"new","new",3442
"last","last",3403
"free","free",3400
"years","years",3392
"rock","rock",3362
"rain","rain",3348
"stay","stay",3344
"mama","mama",3326
"dance","dance",3264
"yes","yes",3261
"people","people",3255
"someone","someone",3188
"walk","walk",3155
"fall","fall",3145
"hard","hard",3143
"alright","alright",3142
"real","real",3140
"mine","mine",3123
"two","two",3121
"came","came",3106
"light","light",3099
"ooh","ooh",3092
"wait","wait",3077
"lord","lord",3044
"hand","hand",3034
"dreams","dreams",3026
"crazy","crazy",3015
"call","call",3009
"face","face",2998
"hope","hope",2981
"sure","sure",2978
"done","done",2976
"ready","ready",2970
"may","may",2934
"sometimes","sometimes",2914
"hmmm","hmmm",2895
"morning","morning",2890
"found","found",2876
"true","true",2861
"kind","kind",2857
"far","far",2855
"road","road",2823
"song","song",2821
"smile","smile",2817
"dream","dream",2800
"first","first",2793
"remember","remember",2790
"days","days",2781
"enough","enough",2777
"friends","friends",2777
"line","line",2744
"somebody","somebody",2742
"name","name",2709
"lonely","lonely",2698
"miss","miss",2688
"went","went",2686
"soul","soul",2678
"head","head",2672
"bad","bad",2667
"else","else",2660
"sleep","sleep",2651
"forever","forever",2643
"talk","talk",2633
"side","side",2633
"arms","arms",2611
"door","door",2608
"times","times",2569
"thought","thought",2555
"maybe","maybe",2516
"’s","’s",2503
"start","start",2501
"wine","wine",2478
"knew","knew",2473
"best","best",2470
"sky","sky",2463
"stand","stand",2448
"together","together",2424
"told","told",2421
"’re","’re",2420
"looking","looking",2406
"loves","loves",2403
"’m","’m",2400
"touch","touch",2400
"till","till",2395
"don’t","don’t",2385
"country","country",2373
"comes","comes",2364
"god","god",2355
"whole","whole",2349
"bout","bout",2348
"must","must",2342
"break","break",2340
"took","took",2328
"pretty","pretty",2327
"mean","mean",2307
"til","til",2296
"friend","friend",2294
"money","money",2286
"guess","guess",2284
"show","show",2281
"words","words",2278
"needs","needs",2266
"next","next",2252
"play","play",2252
"close","close",2249
"today","today",2245
"goes","goes",2241
"lot","lot",2231
"loved","loved",2229
"hands","hands",2229
"wish","wish",2202
"forget","forget",2192
"fine","fine",2188
"makes","makes",2188
"inside","inside",2184
"honey","honey",2160
"end","end",2127
"knows","knows",2126
"coming","coming",2122
"white","white",2116
"heard","heard",2098
"care","care",2082
"late","late",2069
"sing","sing",2065
"red","red",2061
"since","since",2038
"says","says",2031
"high","high",2030
"goodbye","goodbye",2025
"chance","chance",2013
"wind","wind",1950
"die","die",1944
"used","used",1944
"seen","seen",1941
"hair","hair",1917
"daddy","daddy",1894
"happy","happy",1889
"beautiful","beautiful",1883
"someday","someday",1860
"comin","comin",1856
"cold","cold",1856
"hell","hell",1854
"lay","lay",1852
"easy","easy",1851
"tears","tears",1841
"young","young",1832
"pain","pain",1820
"roll","roll",1798
"along","along",1794
"getting","getting",1778
"loving","loving",1766
"everybody","everybody",1765
"feels","feels",1758
"gets","gets",1745
"heaven","heaven",1744
"nobody","nobody",1744
"car","car",1737
"bar","bar",1734
"hate","hate",1733
"bring","bring",1729
"strong","strong",1726
"girls","girls",1726
"fight","fight",1708
"goin","goin",1694
"watch","watch",1671
"fool","fool",1653
"anything","anything",1645
"repeat","repeat",1642
"matter","matter",1641
"though","though",1638
"feeling","feeling",1629
"somewhere","somewhere",1628
"bay","bay",1628
"lookin","lookin",1620
"tomorrow","tomorrow",1609
"sound","sound",1609
"hurt","hurt",1608
"three","three",1600
"wonder","wonder",1595
"ride","ride",1580
"bye","bye",1566
"son","son",1563
"waiting","waiting",1562
"behind","behind",1560
"set","set",1551
"saw","saw",1550
"deep","deep",1538
"hot","hot",1537
"doin","doin",1529
"wake","wake",1523
"wild","wild",1519
"lights","lights",1516
"worry","worry",1516
"move","move",1511
"wanted","wanted",1509
"born","born",1503
"boys","boys",1503
"looks","looks",1499
"dark","dark",1489
"nothin","nothin",1482
"whoa","whoa",1476
"soon","soon",1475
"many","many",1468
"feet","feet",1456
"turned","turned",1454
"dont","dont",1451
"river","river",1437
"lose","lose",1431
"hit","hit",1430
"fire","fire",1428
"work","work",1426
"round","round",1421
"meet","meet",1400
"shake","shake",1391
"fly","fly",1386
"drive","drive",1381
"tried","tried",1377
"instrumental","instrumental",1376
"eye","eye",1373
"save","save",1371
"gave","gave",1370
"understand","understand",1366
"feelin","feelin",1358
"low","low",1349
"rest","rest",1348
"fast","fast",1344
"step","step",1342
"ask","ask",1340
"looked","looked",1339
"black","black",1339
"lovin","lovin",1335
"front","front",1327
"changed","changed",1323
"moon","moon",1318
"seems","seems",1305
"open","open",1299
"lie","lie",1294
"floor","floor",1292
"sit","sit",1280
"moment","moment",1278
"ground","ground",1274
"fun","fun",1271
"bed","bed",1264
"beer","beer",1259
"sea","sea",1255
"thank","thank",1251
"blues","blues",1250
"broken","broken",1242
"air","air",1242
"grow","grow",1242
"songs","songs",1241
"started","started",1239
"top","top",1239
"room","room",1235
"lady","lady",1228
"finally","finally",1225
"hide","hide",1221
"city","city",1220
"laugh","laugh",1213
"house","house",1210
"beside","beside",1205
"music","music",1204
"livin","livin",1201
"living","living",1197
"tryin","tryin",1196
"hearts","hearts",1195
"brown","brown",1194
"runnin","runnin",1193
"fell","fell",1187
"called","called",1171
"slow","slow",1171
"breathe","breathe",1170
"mad","mad",1162
"meant","meant",1160
"mountain","mountain",1155
"dizzee","dizzee",1155
"beat","beat",1149
"listen","listen",1148
"knees","knees",1133
"driving","driving",1131
"michael","michael",1127
"thinking","thinking",1125
"past","past",1123
"keeps","keeps",1121
"street","street",1120
"mother","mother",1113
"ring","ring",1112
"sunday","sunday",1112
"’ll","’ll",1111
"phone","phone",1110
"tight","tight",1103
"rose","rose",1098
"voice","voice",1095
"john","john",1093
"anyone","anyone",1087
"memories","memories",1085
"trying","trying",1083
"second","second",1079
"four","four",1067
"reason","reason",1066
"half","half",1065
"falling","falling",1065
"lips","lips",1061
"darlin","darlin",1059
"takes","takes",1058
"hurts","hurts",1050
"angel","angel",1049
"word","word",1045
"fade","fade",1038
"buy","buy",1038
"tired","tired",1038
"walked","walked",1034
"stars","stars",1032
"singing","singing",1030
"amp","amp",1028
"warm","warm",1024
"water","water",1016
"train","train",1015
"shine","shine",1013
"guys","guys",1009
"worth","worth",1007
"drink","drink",1007
"known","known",1006
"wants","wants",1005
"party","party",1005
"nice","nice",1005
"hello","hello",1004
"raise","raise",1004
"game","game",1004
"ones","ones",996
"lovers","lovers",989
"men","men",988
"wide","wide",985
"felt","felt",979
"swear","swear",979
"probably","probably",978
"year","year",977
"memory","memory",977
"brother","brother",975
"moonlight","moonlight",973
"summer","summer",973
"lies","lies",965
"star","star",964
"gettin","gettin",957
"kids","kids",953
"dancing","dancing",952
"reach","reach",951
"drunk","drunk",950
"caught","caught",949
"sorry","sorry",947
"guy","guy",945
"follow","follow",941
"war","war",939
"shoes","shoes",937
"spend","spend",937
"wheel","wheel",935
"losing","losing",934
"proud","proud",930
"seem","seem",927
"sad","sad",925
"working","working",917
"win","win",916
"bell","bell",913
"met","met",910
"talkin","talkin",906
"babe","babe",903
"johnny","johnny",897
"tough","tough",897
"somethin","somethin",895
"darling","darling",895
"wall","wall",893
"holding","holding",890
"doo","doo",890
"almost","almost",886
"apart","apart",885
"pass","pass",884
"truth","truth",881
"crying","crying",879
"makin","makin",873
"different","different",870
"wife","wife",869
"damn","damn",867
"guitar","guitar",866
"across","across",864
"perfect","perfect",864
"five","five",863
"headed","headed",862
"ten","ten",857
"middle","middle",855
"sight","sight",854
"running","running",854
"glory","glory",853
"faster","faster",853
"monday","monday",851
"ends","ends",851
"mony","mony",850
"snow","snow",847
"cowboy","cowboy",846
"lets","lets",842
"joy","joy",841
"green","green",841
"hang","hang",838
"paradise","paradise",835
"alive","alive",832
"jesus","jesus",831
"sittin","sittin",828
"burn","burn",823
"funny","funny",822
"less","less",821
"waitin","waitin",820
"promise","promise",820
"trust","trust",818
"twice","twice",816
"breaking","breaking",815
"talking","talking",812
"earth","earth",809
"truck","truck",808
"children","children",807
"thinkin","thinkin",807
"thats","thats",807
"dead","dead",804
"single","single",804
"dog","dog",802
"closer","closer",801
"magic","magic",800
"child","child",800
"broke","broke",799
"upon","upon",799
"watching","watching",796
"kissed","kissed",794
"west","west",794
"drinkin","drinkin",794
"use","use",793
"learned","learned",789
"pride","pride",788
"everywhere","everywhere",788
"action","action",788
"sign","sign",787
"bottle","bottle",784
"folks","folks",783
"standing","standing",780
"christmas","christmas",780
"ruby","ruby",778
"small","small",775
"disco","disco",775
"belong","belong",773
"awake","awake",772
"cried","cried",770
"breath","breath",769
"ways","ways",768
"straight","straight",767
"wings","wings",766
"angels","angels",764
"brought","brought",762
"great","great",759
"freedom","freedom",759
"cuz","cuz",756
"school","school",755
"pay","pay",755
"devil","devil",754
"kill","kill",752
"bit","bit",749
"blame","blame",746
"clear","clear",745
"stupid","stupid",744
"lucky","lucky",735
"dad","dad",735
"afraid","afraid",734
"family","family",734
"lead","lead",733
"everyday","everyday",733
"sister","sister",733
"georgia","georgia",732
"pop","pop",730
"land","land",729
"mouth","mouth",729
"means","means",729
"body","body",729
"tear","tear",726
"held","held",725
"power","power",724
"making","making",722
"longtime","longtime",722
"pray","pray",716
"tree","tree",714
"club","club",714
"clothes","clothes",713
"daddys","daddys",712
"cross","cross",711
"part","part",708
"asked","asked",708
"short","short",707
"somebodys","somebodys",706
"six","six",705
"playing","playing",705
"cut","cut",704
"band","band",701
"jingle","jingle",700
"modern","modern",700
"window","window",696
"outside","outside",696
"force","force",696
"played","played",695
"carry","carry",694
"ampampquot","ampampquot",693
