"","Word","Freq"
"love","love",9676
"around","around",3989
"want","want",3676
"world","world",3555
"now","now",3447
"baby","baby",3445
"life","life",3166
"yeah","yeah",3107
"time","time",3058
"like","like",2853
"feel","feel",2718
"good","good",2586
"never","never",2569
"come","come",2531
"one","one",2529
"dee","dee",2362
"right","right",2278
"make","make",2123
"move","move",2076
"night","night",2066
"need","need",2031
"say","say",1908
"look","look",1811
"heart","heart",1697
"show","show",1665
"little","little",1657
"gonna","gonna",1642
"cause","cause",1636
"wanna","wanna",1524
"every","every",1512
"pump","pump",1448
"day","day",1382
"girl","girl",1311
"way","way",1261
"stop","stop",1203
"body","body",1159
"die","die",1129
"still","still",1108
"whoa","whoa",1091
"shake","shake",1030
"gotta","gotta",1029
"back","back",1025
"without","without",1021
"give","give",1006
"bitch","bitch",991
"hey","hey",979
"free","free",966
"smile","smile",953
"call","call",951
"damn","damn",947
"find","find",937
"feeling","feeling",935
"nothing","nothing",933
"always","always",926
"beat","beat",925
"man","man",925
"woah","woah",918
"sexy","sexy",902
"dance","dance",892
"believe","believe",869
"deeper","deeper",861
"tonight","tonight",831
"lover","lover",814
"think","think",804
"hold","hold",798
"’ve","’ve",795
"another","another",771
"oooh","oooh",764
"jam","jam",763
"ready","ready",749
"stay","stay",744
"put","put",732
"aint","aint",710
"face","face",708
"turn","turn",708
"pride","pride",704
"really","really",703
"people","people",697
"better","better",675
"ooh","ooh",671
"away","away",668
"cry","cry",660
"please","please",659
"inside","inside",647
"mind","mind",646
"ever","ever",646
"living","living",641
"thing","thing",623
"blue","blue",622
"makin","makin",617
"words","words",614
"eyes","eyes",607
"wait","wait",595
"makes","makes",594
"hands","hands",594
"knew","knew",590
"going","going",588
"everything","everything",586
"live","live",576
"celebrate","celebrate",576
"leave","leave",568
"pimp","pimp",564
"groove","groove",563
"dreams","dreams",559
"finally","finally",558
"hear","hear",555
"touch","touch",555
"fall","fall",541
"movin","movin",535
"side","side",534
"home","home",530
"place","place",521
"easy","easy",518
"’s","’s",513
"talk","talk",497
"repeat","repeat",495
"music","music",494
"hard","hard",484
"wrong","wrong",478
"land","land",474
"everybody","everybody",473
"thinking","thinking",470
"fire","fire",466
"days","days",464
"hand","hand",461
"sugar","sugar",458
"’m","’m",456
"ride","ride",454
"enough","enough",452
"sweet","sweet",449
"soul","soul",447
"don’t","don’t",445
"gone","gone",440
"end","end",435
"understand","understand",432
"party","party",429
"mine","mine",428
"play","play",428
"hot","hot",425
"new","new",422
"alone","alone",414
"high","high",414
"walk","walk",410
"yes","yes",409
"voice","voice",409
"describe","describe",408
"together","together",397
"bad","bad",396
"dick","dick",388
"someone","someone",381
"forget","forget",381
"female","female",378
"long","long",377
"last","last",377
"strong","strong",377
"door","door",376
"things","things",376
"hurt","hurt",374
"dream","dream",372
"many","many",370
"try","try",369
"forever","forever",369
"happened","happened",366
"sun","sun",364
"ahahahahahahahah","ahahahahahahahah",361
"looking","looking",359
"watch","watch",358
"full","full",357
"flow","flow",357
"check","check",356
"cuz","cuz",356
"front","front",353
"big","big",352
"short","short",351
"boy","boy",349
"dont","dont",347
"men","men",345
"run","run",345
"open","open",345
"times","times",344
"bridge","bridge",344
"light","light",343
"break","break",341
"lights","lights",335
"even","even",334
"floor","floor",331
"set","set",331
"nice","nice",330
"sure","sure",329
"sleep","sleep",328
"feels","feels",327
"stand","stand",326
"goes","goes",322
"real","real",321
"sex","sex",321
"mountain","mountain",320
"firestarter","firestarter",320
"two","two",315
"true","true",313
"video","video",312
"white","white",310
"best","best",310
"asleep","asleep",310
"close","close",308
"club","club",306
"first","first",304
"kiss","kiss",302
"dark","dark",302
"sky","sky",300
"age","age",299
"bit","bit",297
"apart","apart",296
"friends","friends",296
"said","said",294
"sound","sound",294
"seems","seems",293
"miss","miss",292
"getting","getting",292
"tight","tight",286
"meet","meet",286
"whatcha","whatcha",286
"bound","bound",285
"town","town",284
"ask","ask",283
"instrumental","instrumental",281
"honey","honey",279
"tired","tired",279
"ground","ground",278
"start","start",275
"house","house",272
"pull","pull",267
"heaven","heaven",266
"listen","listen",266
"something","something",264
"heaart","heaart",264
"justified","justified",264
"hurle","hurle",264
"power","power",261
"upon","upon",260
"’ll","’ll",258
"falling","falling",256
"rhythm","rhythm",255
"far","far",251
"fine","fine",251
"line","line",250
"found","found",249
"morning","morning",248
"ola","ola",248
"relax","relax",248
"bring","bring",246
"thought","thought",246
"hide","hide",245
"dancefloor","dancefloor",245
"fade","fade",243
"fly","fly",241
"feelin","feelin",240
"musics","musics",240
"survive","survive",239
"won’t","won’t",238
"til","til",238
"goodbye","goodbye",237
"hope","hope",235
"lonely","lonely",234
"devotion","devotion",234
"keeps","keeps",234
"evacuate","evacuate",234
"change","change",233
"’re","’re",233
"ship","ship",229
"aha","aha",228
"coolie","coolie",228
"share","share",224
"cold","cold",224
"feelings","feelings",223
"flag","flag",223
"nowhere","nowhere",223
"left","left",221
"piece","piece",221
"saw","saw",221
"belong","belong",221
"low","low",220
"giving","giving",219
"loved","loved",218
"anything","anything",216
"loves","loves",215
"dig","dig",214
"along","along",212
"rock","rock",211
"story","story",210
"doin","doin",210
"care","care",209
"woman","woman",209
"babe","babe",208
"itch","itch",208
"slow","slow",206
"common","common",206
"hoes","hoes",205
"surrender","surrender",205
"summer","summer",204
"may","may",203
"head","head",202
"infected","infected",202
"whoop","whoop",200
"surely","surely",198
"seen","seen",198
"girls","girls",196
"fast","fast",196
"cos","cos",196
"though","though",195
"moon","moon",194
"zone","zone",194
"twisted","twisted",194
"somebody","somebody",193
"money","money",193
"mmm","mmm",192
"modern","modern",192
"killing","killing",192
"earth","earth",189
"rain","rain",188
"crazy","crazy",188
"bed","bed",186
"five","five",186
"might","might",186
"key","key",185
"breathe","breathe",185
"sweat","sweat",185
"window","window",184
"hoe","hoe",184
"disrespectful","disrespectful",184
"tryinna","tryinna",184
"ahead","ahead",183
"lips","lips",182
"secret","secret",182
"yea","yea",182
"eclipse","eclipse",182
"total","total",182
"chorusx","chorusx",182
"mister","mister",182
"china","china",181
"till","till",180
"stars","stars",180
"weeny","weeny",180
"loving","loving",178
"late","late",177
"raining","raining",176
"blind","blind",176
"thang","thang",176
"behind","behind",175
"coming","coming",175
"whole","whole",174
"taste","taste",173
"instead","instead",172
"three","three",172
"anymore","anymore",172
"made","made",171
"sing","sing",171
"rather","rather",171
"onnnn","onnnn",171
"box","box",170
"old","old",169
"tried","tried",169
"trying","trying",169
"catch","catch",168
"city","city",168
"pushin","pushin",168
"feet","feet",167
"pray","pray",166
"pain","pain",166
"seven","seven",165
"rpt","rpt",165
"thread","thread",165
"sleepwalk","sleepwalk",162
"ancient","ancient",162
"huh","huh",161
"chance","chance",161
"cmon","cmon",159
"work","work",158
"wide","wide",158
"goin","goin",157
"making","making",155
"awake","awake",155
"planet","planet",155
"slowly","slowly",155
"turns","turns",155
"chimney","chimney",154
"gettin","gettin",154
"mundian","mundian",154
"reach","reach",153
"guaranteed","guaranteed",153
"fab","fab",153
"twilight","twilight",152
"young","young",150
"kind","kind",150
"mean","mean",150
"rap","rap",149
"yall","yall",148
"caught","caught",148
"heyee","heyee",148
"must","must",147
"style","style",147
"walkin","walkin",147
"comin","comin",146
"nananana","nananana",146
"kill","kill",145
"fear","fear",144
"seemed","seemed",144
"nothin","nothin",144
"needs","needs",144
"pretty","pretty",143
"outta","outta",143
"skin","skin",142
"ancients","ancients",142
"dancing","dancing",142
"lightning","lightning",141
"worst","worst",141
"wanted","wanted",140
"ending","ending",140
"booty","booty",140
"bang","bang",140
"hell","hell",139
"game","game",138
"blow","blow",138
"fell","fell",137
"strength","strength",136
"control","control",135
"sign","sign",135
"hit","hit",135
"tears","tears",134
"actions","actions",134
"past","past",133
"sorry","sorry",133
"wall","wall",133
