"","Word","Freq"
"love","love",5267
"like","like",3339
"time","time",2155
"now","now",2125
"one","one",2072
"feel","feel",2035
"away","away",2008
"say","say",1932
"baby","baby",1854
"never","never",1849
"come","come",1743
"man","man",1695
"way","way",1666
"good","good",1590
"right","right",1556
"day","day",1543
"back","back",1533
"said","said",1509
"world","world",1419
"gone","gone",1305
"make","make",1256
"want","want",1243
"long","long",1209
"old","old",1170
"give","give",1109
"eyes","eyes",1103
"life","life",1093
"think","think",1058
"leave","leave",1046
"wanna","wanna",1021
"night","night",1017
"mind","mind",1017
"cause","cause",1007
"home","home",1003
"girl","girl",982
"around","around",973
"call","call",952
"yeah","yeah",930
"need","need",925
"things","things",924
"high","high",906
"heart","heart",897
"still","still",869
"find","find",852
"better","better",837
"people","people",810
"stop","stop",809
"every","every",782
"bad","bad",781
"sky","sky",764
"little","little",739
"song","song",737
"ever","ever",724
"gonna","gonna",719
"put","put",715
"came","came",709
"last","last",689
"always","always",673
"mama","mama",665
"save","save",661
"downn","downn",660
"thing","thing",659
"look","look",653
"try","try",632
"days","days",627
"smile","smile",621
"hey","hey",617
"meant","meant",612
"head","head",602
"aint","aint",601
"makin","makin",593
"tonight","tonight",591
"made","made",590
"remember","remember",586
"loo","loo",570
"face","face",558
"live","live",554
"light","light",554
"boy","boy",550
"turn","turn",549
"woman","woman",541
"die","die",538
"hold","hold",537
"end","end",530
"makes","makes",529
"really","really",528
"mine","mine",522
"walk","walk",513
"might","might",512
"cry","cry",511
"believe","believe",508
"music","music",505
"another","another",502
"something","something",499
"dream","dream",493
"dreams","dreams",492
"train","train",490
"dance","dance",486
"new","new",476
"place","place",473
"sweet","sweet",472
"rock","rock",471
"reason","reason",470
"even","even",470
"till","till",469
"morning","morning",469
"rain","rain",467
"sad","sad",467
"far","far",467
"first","first",465
"going","going",464
"mountain","mountain",463
"knew","knew",461
"someone","someone",458
"hear","hear",457
"fly","fly",454
"road","road",453
"stay","stay",450
"young","young",449
"eres","eres",442
"dead","dead",427
"t�","t�",425
"mamama","mamama",420
"two","two",417
"kind","kind",413
"everything","everything",407
"soon","soon",403
"slip","slip",402
"yes","yes",401
"hand","hand",399
"play","play",398
"crying","crying",395
"words","words",395
"must","must",393
"may","may",384
"sing","sing",384
"door","door",384
"mamamama","mamamama",384
"bout","bout",382
"car","car",380
"told","told",377
"roll","roll",375
"close","close",374
"feeling","feeling",374
"free","free",373
"understand","understand",373
"inside","inside",372
"maybe","maybe",370
"alone","alone",370
"hang","hang",369
"change","change",368
"went","went",366
"fast","fast",365
"broken","broken",364
"left","left",360
"sound","sound",358
"happy","happy",356
"sunshine","sunshine",355
"start","start",352
"moon","moon",352
"fall","fall",349
"together","together",347
"says","says",347
"big","big",345
"lot","lot",345
"show","show",343
"highway","highway",342
"took","took",341
"country","country",340
"anything","anything",340
"hope","hope",339
"learn","learn",338
"nothing","nothing",338
"friend","friend",338
"seems","seems",337
"name","name",335
"peace","peace",331
"blue","blue",330
"lady","lady",330
"forever","forever",330
"many","many",328
"hearts","hearts",328
"diamonds","diamonds",328
"saw","saw",326
"without","without",326
"sun","sun",321
"lovers","lovers",319
"lost","lost",317
"seen","seen",316
"talk","talk",315
"lonely","lonely",314
"town","town",313
"sometimes","sometimes",309
"fire","fire",309
"rocky","rocky",306
"bright","bright",305
"done","done",302
"please","please",301
"lucy","lucy",300
"wanted","wanted",298
"middle","middle",296
"girls","girls",294
"hurt","hurt",291
"felt","felt",291
"standing","standing",289
"nobody","nobody",288
"friends","friends",287
"years","years",287
"heaven","heaven",287
"gettin","gettin",287
"singin","singin",287
"thought","thought",286
"honey","honey",286
"wind","wind",286
"talking","talking",285
"blame","blame",284
"feelin","feelin",284
"cradle","cradle",283
"goodbye","goodbye",282
"air","air",281
"souls","souls",281
"comes","comes",279
"men","men",277
"care","care",276
"dog","dog",275
"bye","bye",274
"today","today",273
"lose","lose",273
"colorado","colorado",272
"alright","alright",271
"lies","lies",271
"late","late",267
"money","money",267
"times","times",266
"pain","pain",266
"levee","levee",266
"living","living",265
"deep","deep",264
"touch","touch",264
"sunny","sunny",264
"blues","blues",262
"step","step",258
"possession","possession",255
"tried","tried",254
"sure","sure",254
"offa","offa",252
"bossa","bossa",252
"nova","nova",252
"half","half",250
"god","god",249
"boys","boys",247
"tom","tom",246
"city","city",245
"soul","soul",244
"leroy","leroy",242
"brown","brown",241
"round","round",241
"lookin","lookin",240
"wish","wish",240
"water","water",238
"looked","looked",238
"street","street",238
"gods","gods",237
"falling","falling",237
"poor","poor",236
"help","help",236
"called","called",236
"strange","strange",236
"ready","ready",235
"defend","defend",235
"kisses","kisses",234
"miss","miss",234
"true","true",233
"hard","hard",232
"ole","ole",232
"gotta","gotta",232
"king","king",232
"real","real",232
"moment","moment",232
"children","children",229
"floor","floor",229
"til","til",229
"flowers","flowers",228
"seem","seem",227
"whoa","whoa",225
"learned","learned",224
"wonder","wonder",224
"crooked","crooked",223
"ago","ago",222
"ooh","ooh",222
"passing","passing",220
"used","used",220
"mean","mean",219
"heard","heard",218
"son","son",217
"crazy","crazy",217
"behind","behind",217
"raining","raining",217
"dry","dry",216
"somewhere","somewhere",216
"send","send",215
"nice","nice",215
"roads","roads",215
"tomorrow","tomorrow",213
"side","side",213
"best","best",213
"upon","upon",212
"looking","looking",212
"goin","goin",211
"dooley","dooley",210
"feet","feet",210
"blu","blu",208
"damn","damn",207
"passionate","passionate",207
"next","next",204
"pay","pay",202
"fine","fine",202
"promises","promises",202
"lover","lover",202
"open","open",201
"born","born",201
"pass","pass",201
"loved","loved",200
"turned","turned",199
"clowns","clowns",199
"slidin","slidin",198
"kiss","kiss",196
"que","que",195
"forget","forget",195
"sit","sit",195
"hands","hands",195
"cause…","cause…",195
"within","within",194
"fight","fight",193
"thoughts","thoughts",192
"eye","eye",191
"room","room",191
"bed","bed",191
"enough","enough",191
"cold","cold",190
"family","family",190
"movie","movie",190
"book","book",190
"sorry","sorry",190
"though","though",189
"lives","lives",189
"como","como",189
"shoes","shoes",188
"child","child",187
"goes","goes",187
"read","read",187
"whole","whole",186
"lie","lie",185
"follow","follow",184
"belong","belong",183
"along","along",183
"listen","listen",183
"silver","silver",183
"truth","truth",183
"hoo","hoo",182
"dark","dark",182
"working","working",181
"sleep","sleep",178
"mother","mother",178
"drove","drove",178
"story","story",177
"anymore","anymore",177
"run","run",175
"feels","feels",175
"everyone","everyone",175
"news","news",174
"betty","betty",174
"beautiful","beautiful",173
"ones","ones",173
"coming","coming",173
"work","work",171
"dad","dad",171
"bon","bon",170
"carefree","carefree",168
"neva","neva",168
"unpredictable","unpredictable",168
"grow","grow",167
"midnight","midnight",167
"less","less",167
"yet","yet",166
"tears","tears",165
"talkin","talkin",165
"ways","ways",164
"american","american",164
"ten","ten",162
"window","window",162
"found","found",162
