,Word,Freq
like,like,67110
love,love,40524
now,now,38215
back,back,28793
nigga,nigga,28667
baby,baby,28403
aint,aint,27460
yeah,yeah,27236
one,one,25646
make,make,23044
cause,cause,22749
wanna,wanna,22682
come,come,20236
girl,girl,20201
want,want,19491
man,man,19062
way,way,18472
right,right,18471
say,say,18133
time,time,16530
never,never,14708
need,need,14149
hey,hey,13511
gonna,gonna,13023
shit,shit,12745
gotta,gotta,12250
good,good,11931
ass,ass,11328
give,give,11075
put,put,11002
feel,feel,10577
look,look,10516
money,money,10486
better,better,9840
wit,wit,9694
life,life,9552
around,around,9435
hit,hit,9350
fuck,fuck,9145
think,think,9050
bitch,bitch,9027
big,big,9006
said,said,8990
show,show,8639
little,little,8582
real,real,8556
still,still,8321
call,call,8299
low,low,8076
shake,shake,7989
stop,stop,7806
new,new,7632
world,world,7567
day,day,7560
girls,girls,7488
two,two,7487
lil,lil,7446
rock,rock,7313
every,every,7186
night,night,7180
fly,fly,7090
ride,ride,6979
even,even,6924
club,club,6593
mind,mind,6482
heart,heart,6412
bout,bout,6356
thing,thing,6289
gone,gone,6267
fab,fab,6224
dat,dat,6118
find,find,6031
long,long,5972
cuz,cuz,5948
home,home,5941
bring,bring,5875
play,play,5786
boy,boy,5756
ever,ever,5741
mine,mine,5733
try,try,5706
party,party,5667
hear,hear,5663
bad,bad,5636
head,head,5535
game,game,5516
check,check,5472
hold,hold,5469
move,move,5462
hot,hot,5455
always,always,5434
hard,hard,5434
name,name,5420
really,really,5369
away,away,5341
gon,gon,5227
leave,leave,5083
stay,stay,4996
turn,turn,4996
dance,dance,4991
going,going,4867
walk,walk,4846
things,things,4769
everybody,everybody,4754
gettin,gettin,4736
drop,drop,4717
another,another,4710
watch,watch,4631
body,body,4605
damn,damn,4562
talk,talk,4518
told,told,4515
huh,huh,4491
seen,seen,4476
repeat,repeat,4373
made,made,4352
live,live,4343
hoes,hoes,4314
young,young,4264
face,face,4231
people,people,4229
floor,floor,4220
goin,goin,4205
tryin,tryin,4195
three,three,4191
run,run,4172
break,break,4162
bitches,bitches,4139
lookin,lookin,4090
roll,roll,4074
round,round,4028
work,work,4005
left,left,3891
throw,throw,3886
high,high,3874
believe,believe,3867
side,side,3846
came,came,3786
ready,ready,3780
something,something,3765
kiss,kiss,3748
start,start,3679
eyes,eyes,3673
whoa,whoa,3670
please,please,3662
everything,everything,3647
might,might,3608
top,top,3564
next,next,3541
yes,yes,3516
beat,beat,3504
hands,hands,3495
ooh,ooh,3481
best,best,3473
whole,whole,3452
thought,thought,3432
stand,stand,3424
nothing,nothing,3407
pop,pop,3390
TRUE,TRUE,3373
touch,touch,3350
hand,hand,3335
understand,understand,3332
shorty,shorty,3327
sweet,sweet,3307
old,old,3292
friend,friend,3289
black,black,3272
first,first,3271
looking,looking,3238
crazy,crazy,3236
till,till,3232
step,step,3219
fuckin,fuckin,3191
done,done,3181
heard,heard,3180
tonight,tonight,3179
nothin,nothin,3165
daddy,daddy,3157
dont,dont,3156
mean,mean,3151
alone,alone,3121
comes,comes,3096
song,song,3088
last,last,3073
fall,fall,3040
house,house,3033
somethin,somethin,3031
jump,jump,3026
rap,rap,3026
comin,comin,3017
die,die,3004
found,found,2990
shawty,shawty,2987
since,since,2982
together,together,2959
goes,goes,2938
care,care,2931
nobody,nobody,2929
many,many,2919
fine,fine,2918
forever,forever,2909
wrong,wrong,2908
pull,pull,2906
friends,friends,2897
listen,listen,2868
without,without,2862
line,line,2856
hood,hood,2841
word,word,2839
ice,ice,2815
doin,doin,2798
skeet,skeet,2783
place,place,2782
front,front,2778
enough,enough,2771
lights,lights,2767
times,times,2742
full,full,2729
god,god,2701
hook,hook,2701
wait,wait,2687
slow,slow,2684
lady,lady,2673
fresh,fresh,2672
white,white,2671
car,car,2654
ladies,ladies,2642
yall,yall,2639
kick,kick,2637
flow,flow,2634
ask,ask,2627
maybe,maybe,2624
talkin,talkin,2617
hate,hate,2613
boys,boys,2601
light,light,2600
lot,lot,2600
must,must,2599
trying,trying,2581
dip,dip,2564
wild,wild,2557
blow,blow,2547
mad,mad,2533
music,music,2530
used,used,2525
act,act,2519
somebody,somebody,2510
cmon,cmon,2507
makes,makes,2481
catch,catch,2478
town,town,2477
makin,makin,2475
west,west,2475
tha,tha,2460
room,room,2450
getting,getting,2448
though,though,2448
guess,guess,2432
dum,dum,2424
dick,dick,2424
bit,bit,2418
cool,cool,2416
knew,knew,2413
hoe,hoe,2411
heaven,heaven,2410
cha,cha,2405
feeling,feeling,2396
boom,boom,2396
help,help,2383
tight,tight,2370
soul,soul,2358
bust,bust,2358
anything,anything,2356
til,til,2354
wish,wish,2350
city,city,2338
end,end,2337
went,went,2327
wear,wear,2321
inside,inside,2313
yea,yea,2311
straight,straight,2304
pussy,pussy,2297
wall,wall,2294
today,today,2286
hope,hope,2284
sure,sure,2283
star,star,2272
’m,’m,2270
hell,hell,2257
style,style,2256
woman,woman,2253
bet,bet,2230
close,close,2226
air,air,2224
talking,talking,2222
funky,funky,2211
cold,cold,2210
sayin,sayin,2210
feelin,feelin,2193
type,type,2160
change,change,2153
may,may,2144
thang,thang,2139
uhh,uhh,2136
mama,mama,2131
push,push,2109
holla,holla,2107
block,block,2094
buy,buy,2059
pass,pass,2059
pay,pay,2056
flip,flip,2054
lose,lose,2052
broke,broke,2038
free,free,2038
living,living,2038
nice,nice,2038
rhyme,rhyme,2017
cut,cut,2015
hop,hop,2015
phone,phone,2002
motherfucker,motherfucker,2002
set,set,2001
mic,mic,1998
red,red,1989
mouth,mouth,1988
street,street,1985
dirty,dirty,1978
took,took,1974
sound,sound,1970
smoke,smoke,1962
whatever,whatever,1961
wayne,wayne,1939
shot,shot,1936
chance,chance,1935
open,open,1921
poppin,poppin,1920
words,words,1914
crew,crew,1914
door,door,1912
hurt,hurt,1910
knock,knock,1907
’s,’s,1903
eat,eat,1898
cash,cash,1897
booty,booty,1893
sit,sit,1890
far,far,1881
wanted,wanted,1879
tryna,tryna,1876
streets,streets,1853
spot,spot,1851
dog,dog,1850
half,half,1843
promise,promise,1841
minute,minute,1837
scared,scared,1831
sick,sick,1826
fat,fat,1821
school,school,1818
freak,freak,1817
girlfriend,girlfriend,1815
fool,fool,1813
sky,sky,1810
pretty,pretty,1809
biggie,biggie,1789
meet,meet,1785
smile,smile,1779
sometimes,sometimes,1779
death,death,1772
started,started,1769
cry,cry,1765
sing,sing,1761
intro,intro,1761
number,number,1759
alright,alright,1758
son,son,1751
fast,fast,1749
ohh,ohh,1740
four,four,1737
hip,hip,1735
easy,easy,1733
clothes,clothes,1717
deep,deep,1716
woo,woo,1716
brother,brother,1712
thinkin,thinkin,1703
kids,kids,1702
don’t,don’t,1699
thats,thats,1698
chick,chick,1697
rollin,rollin,1697
fade,fade,1696
brain,brain,1689
sexy,sexy,1687
dough,dough,1685
hair,hair,1682
pain,pain,1680
lean,lean,1677
gave,gave,1675
behind,behind,1673
gets,gets,1670
someone,someone,1670
track,track,1666
lonely,lonely,1662
plus,plus,1660
sweat,sweat,1655
thug,thug,1654
lay,lay,1651
sex,sex,1648
drink,drink,1643
livin,livin,1637
follow,follow,1635
bounce,bounce,1633
summer,summer,1627
dead,dead,1615
wonder,wonder,1610
pray,pray,1609
rain,rain,1605
gold,gold,1604
dream,dream,1604
lost,lost,1604
lick,lick,1603
feet,feet,1600
dreams,dreams,1598
whoop,whoop,1595
fire,fire,1577
ring,ring,1574
ball,ball,1574
fight,fight,1562
locked,locked,1561
coming,coming,1559
double,double,1556
dre,dre,1552
ghetto,ghetto,1546
miss,miss,1537
treat,treat,1529
forget,forget,1525
hang,hang,1521
rest,rest,1520
dem,dem,1520
caught,caught,1518
saw,saw,1517
women,women,1516
kid,kid,1515
matter,matter,1515
king,king,1507
paper,paper,1503
nah,nah,1500
cali,cali,1499
chicks,chicks,1494
spend,spend,1492
gangsta,gangsta,1492
crack,crack,1488
cars,cars,1487
days,days,1481
everyday,everyday,1469
bang,bang,1465
playing,playing,1464
feels,feels,1462
remember,remember,1454
whats,whats,1454
road,road,1453
six,six,1450
mother,mother,1450
runnin,runnin,1450
slide,slide,1444
reason,reason,1443
jeans,jeans,1442
dope,dope,1440
paid,paid,1439
knows,knows,1435
cant,cant,1433
bow,bow,1431
playa,playa,1431
sun,sun,1428
blue,blue,1426
goddamn,goddamn,1425
waiting,waiting,1422
tried,tried,1419
gun,gun,1419
drive,drive,1416
lie,lie,1410
window,window,1406
slim,slim,1406
dogg,dogg,1402
green,green,1399
met,met,1396
years,years,1396
kill,kill,1394
called,called,1391
rhymes,rhymes,1390
power,power,1389
drunk,drunk,1386
dad,dad,1385
pimp,pimp,1381
grab,grab,1377
sprung,sprung,1376
else,else,1373
jayz,jayz,1372
five,five,1370
homie,homie,1370
outta,outta,1369
stick,stick,1368
strong,strong,1364
stuff,stuff,1359
joe,joe,1358
rich,rich,1355
gimme,gimme,1349
quick,quick,1349
lord,lord,1344
problems,problems,1338
quit,quit,1337
bar,bar,1334
benz,benz,1331
use,use,1327
wow,wow,1325
loud,loud,1319
pump,pump,1319
train,train,1317
saying,saying,1317
kind,kind,1315
shine,shine,1309
truth,truth,1300
soon,soon,1292
dazzey,dazzey,1292
duks,duks,1292
neck,neck,1291
clean,clean,1289
trick,trick,1287
playin,playin,1286
thinking,thinking,1278
outside,outside,1278
lovin,lovin,1275
fun,fun,1274
arms,arms,1272
couple,couple,1270
heat,heat,1270
breathe,breathe,1267
none,none,1255
eye,eye,1251
late,late,1250
uhhuh,uhhuh,1250
problem,problem,1250
south,south,1247
kinda,kinda,1247
suga,suga,1246
guy,guy,1244
lips,lips,1243
’ll,’ll,1240
magic,magic,1237
week,week,1234
boyz,boyz,1234
eminem,eminem,1231
reer,reer,1230
control,control,1227
fucking,fucking,1223
balls,balls,1218
deal,deal,1217
upon,upon,1216
nate,nate,1211
ones,ones,1207
oooh,oooh,1206
thata,thata,1204
downn,downn,1200
bridge,bridge,1196
mami,mami,1193
ridin,ridin,1193
dime,dime,1193
looks,looks,1184
morning,morning,1182
lover,lover,1178
year,year,1168
boogie,boogie,1166
ill,ill,1164
pants,pants,1155
record,record,1149
flava,flava,1145
bought,bought,1144
holdin,holdin,1142
piece,piece,1141
motion,motion,1134
dumb,dumb,1131
havin,havin,1126
peace,peace,1121
moment,moment,1118
lets,lets,1115
ohhh,ohhh,1114
ways,ways,1110
worth,worth,1108
dude,dude,1106
tired,tired,1103
twist,twist,1102
missy,missy,1102
ludacris,ludacris,1101
family,family,1098
shoes,shoes,1095
funk,funk,1090
past,past,1088
trip,trip,1085
pick,pick,1084
insane,insane,1080
chill,chill,1078
hundred,hundred,1077
motherfuckin,motherfuckin,1077
throwback,throwback,1076
weed,weed,1075
puff,puff,1073
walkin,walkin,1072
shady,shady,1072
pimpin,pimpin,1071
second,second,1070
fools,fools,1068
different,different,1067
already,already,1066
tear,tear,1066
trust,trust,1066
rule,rule,1066
ampampquot,ampampquot,1065
games,games,1065
making,making,1062
yep,yep,1062
tomorrow,tomorrow,1061
lyrics,lyrics,1059
jam,jam,1058
respect,respect,1057
bye,bye,1056
child,child,1055
babe,babe,1055
swear,swear,1050
happy,happy,1050
thoughts,thoughts,1050
along,along,1049
bottom,bottom,1047
shoop,shoop,1047
crowd,crowd,1045
apart,apart,1044
york,york,1044
smokin,smokin,1041
bed,bed,1040
dig,dig,1039
tellin,tellin,1037
coast,coast,1036
hello,hello,1034
nuttin,nuttin,1034
jack,jack,1033
skin,skin,1032
stars,stars,1028
later,later,1027
moves,moves,1024
born,born,1022
gots,gots,1020
band,band,1019
sorry,sorry,1018
brothers,brothers,1015
candy,candy,1015
doubt,doubt,1014
cops,cops,1014
wet,wet,1013
honey,honey,1013
flo,flo,1010
less,less,1009
speak,speak,1008
learn,learn,1007
buck,buck,1003
plan,plan,1001
tonite,tonite,1001
chain,chain,1000
spit,spit,1000
hide,hide,1000
owe,owe,1000
motherfuckers,motherfuckers,997
everywhere,everywhere,995
sleep,sleep,993
known,known,993
stuck,stuck,988
alive,alive,988
trunk,trunk,988
thick,thick,988
takes,takes,987
job,job,987
burn,burn,982
nasty,nasty,980
anyway,anyway,979
mess,mess,978
gurl,gurl,978
legit,legit,977
write,write,974
felt,felt,974
takin,takin,974
mac,mac,973
east,east,972
lovers,lovers,971
lemme,lemme,967
amp,amp,966
cos,cos,964
sugar,sugar,964
men,men,961
trouble,trouble,961
grow,grow,960
badoop,badoop,960
dark,dark,959
wake,wake,958
pack,pack,958
shoot,shoot,956
case,case,953
sittin,sittin,952
yellow,yellow,950
box,box,949
hustlin,hustlin,948
story,story,947
business,business,946
rather,rather,945
taffy,taffy,943
bass,bass,940
thank,thank,939
probably,probably,938
haters,haters,936
seems,seems,934
crunk,crunk,932
across,across,931
middle,middle,929
friday,friday,928
tpain,tpain,927
special,special,926
mike,mike,926
laffy,laffy,925
switch,switch,922
wants,wants,921
cop,cop,921
que,que,919
frontin,frontin,919
water,water,918
trippin,trippin,916
mamma,mamma,915
bottle,bottle,914
picture,picture,914
sippin,sippin,912
choo,choo,908
bend,bend,906
hump,hump,904
dancin,dancin,902
single,single,900
warm,warm,898
seem,seem,895
pocket,pocket,895
brand,brand,894
says,says,893
part,part,893
givin,givin,893
wave,wave,890
fucked,fucked,887
hips,hips,885
running,running,884
mom,mom,883
test,test,881
wayooh,wayooh,880
fear,fear,879
butt,butt,879
team,team,878
kelly,kelly,873
doctor,doctor,871
higher,higher,867
gangstas,gangstas,867
movin,movin,865
bag,bag,863
voice,voice,857
afraid,afraid,857
okay,okay,855
rump,rump,855
save,save,854
yet,yet,852
whip,whip,850
shook,shook,844
played,played,843
homies,homies,843
sell,sell,841
nas,nas,840
funny,funny,839
mase,mase,838
shakin,shakin,835
shaquille,shaquille,835
loose,loose,834
ballin,ballin,832
momma,momma,832
fellas,fellas,830
ground,ground,826
diamonds,diamonds,825
worry,worry,824
blood,blood,824
taking,taking,824
million,million,822
toes,toes,821
clear,clear,820
ear,ear,819
dogs,dogs,816
rockin,rockin,816
harder,harder,815
loving,loving,814
brown,brown,813
don,don,813
grown,grown,812
corner,corner,811
ampquot,ampquot,810
tip,tip,808
steady,steady,807
stage,stage,806
dress,dress,805
wont,wont,805
turned,turned,803
wife,wife,801
state,state,800
guns,guns,800
sight,sight,800
spin,spin,799
shots,shots,796
bouncin,bouncin,795
tender,tender,794
jon,jon,794
changed,changed,789
crib,crib,789
park,park,785
send,send,783
boss,boss,783
crawl,crawl,780
handle,handle,780
self,self,779
clap,clap,778
tee,tee,778
shut,shut,776
tongue,tongue,773
cats,cats,772
fell,fell,772
stack,stack,772
kept,kept,771
ten,ten,770
anybody,anybody,770
beef,beef,768
carry,carry,767
calling,calling,767
platinum,platinum,766
brought,brought,763
fit,fit,763
seat,seat,760
drinks,drinks,760
taste,taste,759
everytime,everytime,759
pharrell,pharrell,759
wind,wind,758
loves,loves,754
projects,projects,754
moving,moving,753
betta,betta,753
nine,nine,752
gucci,gucci,752
bite,bite,751
monkey,monkey,750
player,player,749
glock,glock,749
working,working,748
ohoh,ohoh,748
great,great,747
cross,cross,744
guys,guys,744
sip,sip,743
suck,suck,741
dis,dis,741
hits,hits,741
gang,gang,734
callin,callin,733
land,land,732
glad,glad,732
somewhere,somewhere,731
rappers,rappers,731
snoop,snoop,731
cent,cent,729
smooth,smooth,729
actin,actin,727
chop,chop,727
nights,nights,726
choose,choose,724
near,near,723
share,share,721
shame,shame,721
cyclone,cyclone,720
mmm,mmm,719
smell,smell,719
haha,haha,719
walking,walking,718
paradise,paradise,718
split,split,718
everybodys,everybodys,717
holding,holding,717
throwin,throwin,716
bone,bone,715
waitin,waitin,714
ding,ding,714
bank,bank,714
blast,blast,714
knees,knees,712
outro,outro,712
chest,chest,711
flirt,flirt,710
jesus,jesus,710
doo,doo,708
getcha,getcha,708
heavy,heavy,706
shining,shining,706
grind,grind,703
read,read,701
ella,ella,701
addams,addams,700
bomb,bomb,698
perfect,perfect,696
everyone,everyone,696
lifetime,lifetime,695
slip,slip,693
mack,mack,689
laugh,laugh,688
punk,punk,688
super,super,688
orleans,orleans,688
country,country,686
cube,cube,685
fact,fact,684
hopin,hopin,684
grill,grill,681
aye,aye,681
beats,beats,680
gslide,gslide,680
soft,soft,678
mornin,mornin,678
ima,ima,676
hat,hat,675
naked,naked,674
reach,reach,673
become,become,673
lla,lla,672
askin,askin,671
hos,hos,671
hustle,hustle,670
singing,singing,669
sitting,sitting,669
weak,weak,669
groove,groove,669
players,players,668
war,war,667
leavin,leavin,665
noise,noise,664
jones,jones,664
dollar,dollar,663
mall,mall,661
ayer,ayer,660
wide,wide,658
grindin,grindin,658
bottles,bottles,657
father,father,657
taught,taught,656
brooklyn,brooklyn,655
watchin,watchin,654
freeze,freeze,654
dawg,dawg,654
usher,usher,654
turtle,turtle,653
humpty,humpty,653
saturday,saturday,652
prince,prince,652
bus,bus,651
ran,ran,649
imma,imma,649
boo,boo,648
rip,rip,648
chu,chu,648
bullshit,bullshit,647
cream,cream,645
watching,watching,644
looked,looked,644
radio,radio,642
flashing,flashing,642
thighs,thighs,642
hittin,hittin,641
shop,shop,641
legs,legs,641
bump,bump,641
lives,lives,640
vip,vip,639
scream,scream,638
stupid,stupid,638
wrote,wrote,637
broken,broken,636
click,click,635
cat,cat,633
ahhh,ahhh,633
spending,spending,631
supposed,supposed,629
kim,kim,629
raw,raw,628
hammer,hammer,628
tears,tears,627
stacks,stacks,626
cadillac,cadillac,625
hug,hug,625
foot,foot,624
naw,naw,624
blind,blind,623
nann,nann,622
breakin,breakin,621
boots,boots,620
spent,spent,619
win,win,619
means,means,618
heads,heads,616
bein,bein,616
space,space,615
count,count,615
giving,giving,614
lead,lead,614
sold,sold,614
’ve,’ve,613
miami,miami,612
jumpin,jumpin,612
hiphop,hiphop,612
stone,stone,611
question,question,610
proud,proud,609
records,records,608
burnin,burnin,608
loved,loved,606
lovely,lovely,606
