"","Word","Freq"
"love","love",109058
"baby","baby",56029
"like","like",52508
"now","now",42469
"one","one",35769
"want","want",35465
"time","time",34869
"yeah","yeah",34199
"make","make",32000
"say","say",30797
"never","never",30198
"gonna","gonna",29738
"come","come",29689
"heart","heart",28177
"feel","feel",27590
"way","way",27206
"night","night",26464
"cause","cause",26284
"wanna","wanna",24472
"girl","girl",23193
"right","right",22717
"need","need",20611
"away","away",20374
"good","good",19184
"back","back",18877
"think","think",17527
"day","day",17290
"give","give",17265
"little","little",17237
"life","life",17236
"around","around",15316
"man","man",15016
"world","world",14698
"dance","dance",14295
"look","look",14235
"eyes","eyes",14158
"really","really",13982
"said","said",13656
"stop","stop",13469
"hey","hey",13383
"always","always",13201
"aint","aint",12744
"every","every",12622
"turn","turn",12617
"find","find",12005
"ever","ever",11842
"long","long",11433
"hold","hold",11174
"still","still",11125
"mind","mind",11092
"believe","believe",10922
"things","things",10689
"tonight","tonight",10552
"try","try",10249
"ooh","ooh",10182
"something","something",9923
"home","home",9744
"hear","hear",9721
"gotta","gotta",9704
"boy","boy",9588
"gone","gone",9291
"another","another",9233
"better","better",9155
"bad","bad",8749
"thing","thing",8631
"mine","mine",8496
"everything","everything",8380
"face","face",8112
"sweet","sweet",8012
"true","true",8002
"please","please",7761
"alone","alone",7753
"stay","stay",7734
"shake","shake",7710
"show","show",7672
"break","break",7557
"fall","fall",7523
"cry","cry",7517
"inside","inside",7424
"nothing","nothing",7318
"hard","hard",7314
"move","move",7240
"going","going",7185
"made","made",7165
"light","light",7101
"touch","touch",7037
"without","without",6986
"rock","rock",6942
"leave","leave",6938
"enough","enough",6936
"forever","forever",6803
"put","put",6737
"remember","remember",6731
"together","together",6714
"people","people",6665
"place","place",6660
"new","new",6628
"hand","hand",6599
"waiting","waiting",6541
"dream","dream",6516
"walk","walk",6470
"call","call",6468
"wait","wait",6354
"head","head",6310
"song","song",6304
"name","name",6290
"care","care",6285
"wrong","wrong",6218
"live","live",6199
"goodbye","goodbye",6119
"play","play",6105
"feeling","feeling",6043
"left","left",6010
"last","last",5999
"real","real",5999
"body","body",5974
"change","change",5851
"must","must",5803
"someone","someone",5794
"coming","coming",5772
"talk","talk",5738
"found","found",5733
"beat","beat",5717
"crazy","crazy",5704
"run","run",5658
"big","big",5600
"two","two",5546
"free","free",5522
"yes","yes",5505
"even","even",5484
"strong","strong",5481
"kiss","kiss",5479
"door","door",5479
"times","times",5472
"music","music",5443
"maybe","maybe",5434
"girls","girls",5398
"repeat","repeat",5336
"soul","soul",5218
"old","old",5197
"rain","rain",5186
"miss","miss",5125
"everybody","everybody",5109
"round","round",5069
"makes","makes",4968
"dreams","dreams",4944
"hands","hands",4935
"understand","understand",4921
"thought","thought",4893
"used","used",4838
"close","close",4807
"loves","loves",4803
"goes","goes",4767
"end","end",4754
"breaking","breaking",4742
"sun","sun",4719
"days","days",4715
"high","high",4708
"words","words",4607
"lonely","lonely",4579
"tears","tears",4553
"bit","bit",4545
"told","told",4541
"many","many",4506
"help","help",4501
"wants","wants",4499
"alright","alright",4496
"arms","arms",4483
"party","party",4465
"sometimes","sometimes",4448
"best","best",4433
"sure","sure",4401
"nobody","nobody",4389
"somebody","somebody",4385
"que","que",4378
"side","side",4363
"lost","lost",4350
"matter","matter",4349
"far","far",4335
"hot","hot",4334
"may","may",4313
"sing","sing",4278
"smile","smile",4271
"till","till",4265
"knew","knew",4242
"comes","comes",4242
"morning","morning",4232
"ride","ride",4185
"else","else",4181
"friends","friends",4159
"happy","happy",4144
"woman","woman",4134
"loved","loved",4122
"wish","wish",4095
"since","since",4074
"friend","friend",4067
"honey","honey",4048
"lose","lose",4042
"start","start",4038
"money","money",4034
"knows","knows",4010
"easy","easy",4004
"pain","pain",3978
"deep","deep",3963
"work","work",3962
"imma","imma",3954
"game","game",3947
"chance","chance",3942
"forget","forget",3935
"dancing","dancing",3844
"doo","doo",3824
"hurt","hurt",3821
"looking","looking",3811
"mean","mean",3804
"though","though",3793
"ready","ready",3767
"first","first",3750
"done","done",3745
"saw","saw",3733
"boys","boys",3705
"town","town",3701
"fool","fool",3693
"til","til",3690
"whoa","whoa",3687
"kind","kind",3683
"young","young",3679
"god","god",3647
"today","today",3644
"stand","stand",3633
"came","came",3605
"die","die",3602
"mama","mama",3545
"sleep","sleep",3536
"anything","anything",3531
"might","might",3519
"anymore","anymore",3512
"blue","blue",3476
"cos","cos",3448
"falling","falling",3448
"power","power",3443
"air","air",3438
"hope","hope",3418
"fly","fly",3415
"guess","guess",3389
"living","living",3381
