"","Word","Freq"
"love","love",109612
"baby","baby",75966
"like","like",48942
"now","now",40797
"yeah","yeah",38832
"one","one",34745
"wanna","wanna",33964
"want","want",33200
"girl","girl",31770
"time","time",31099
"make","make",29272
"come","come",28850
"say","say",27978
"gonna","gonna",27496
"never","never",27471
"cause","cause",27176
"right","right",26349
"way","way",25667
"feel","feel",23894
"need","need",23854
"back","back",23549
"aint","aint",21303
"ooh","ooh",20630
"life","life",19017
"night","night",18245
"stop","stop",18193
"give","give",18057
"heart","heart",17873
"away","away",16177
"man","man",15927
"good","good",15875
"think","think",15225
"day","day",14991
"said","said",13606
"body","body",13123
"thing","thing",13117
"hey","hey",13082
"always","always",12662
"little","little",12478
"things","things",12298
"mind","mind",12085
"really","really",12054
"around","around",11939
"boy","boy",11660
"every","every",11495
"gotta","gotta",11400
"look","look",11017
"world","world",10836
"hold","hold",10627
"tonight","tonight",10496
"ever","ever",10480
"still","still",10328
"long","long",10086
"home","home",9875
"yes","yes",9363
"please","please",9341
"crazy","crazy",9296
"leave","leave",9180
"better","better",9073
"find","find",8947
"without","without",8931
"sweet","sweet",8274
"real","real",8250
"nothing","nothing",8128
"put","put",8100
"stay","stay",8053
"eyes","eyes",8050
"try","try",8014
"believe","believe",7901
"everything","everything",7895
"alone","alone",7814
"show","show",7732
"call","call",7730
"live","live",7278
"turn","turn",7166
"woman","woman",7113
"mine","mine",7103
"cry","cry",7096
"true","true",7093
"gone","gone",7057
"together","together",7045
"someone","someone",6901
"another","another",6754
"bad","bad",6753
"going","going",6737
"something","something",6684
"talk","talk",6587
"looking","looking",6555
"even","even",6524
"wrong","wrong",6488
"dance","dance",6476
"kiss","kiss",6348
"people","people",6291
"touch","touch",6245
"new","new",6216
"babe","babe",6202
"repeat","repeat",6143
"made","made",6115
"move","move",6047
"nobody","nobody",5839
"play","play",5684
"else","else",5678
"face","face",5645
"shake","shake",5640
"two","two",5595
"cuz","cuz",5579
"times","times",5556
"hear","hear",5554
"thought","thought",5546
"break","break",5509
"help","help",5486
"work","work",5479
"best","best",5452
"remember","remember",5388
"knew","knew",5385
"inside","inside",5378
"enough","enough",5310
"hard","hard",5277
"wish","wish",5199
"walk","walk",5172
"slow","slow",5142
"soul","soul",5119
"feeling","feeling",5098
"wait","wait",5085
"must","must",5021
"place","place",5011
"last","last",4990
"might","might",4990
"hot","hot",4974
"till","till",4970
"makes","makes",4933
"change","change",4854
"lady","lady",4813
"care","care",4807
"matter","matter",4800
"head","head",4797
"forever","forever",4754
"free","free",4751
"arms","arms",4704
"bring","bring",4698
"name","name",4642
"rock","rock",4641
"first","first",4590
"end","end",4586
"fine","fine",4574
"told","told",4522
"anything","anything",4520
"somebody","somebody",4504
"everybody","everybody",4493
"miss","miss",4470
"money","money",4443
"days","days",4436
"used","used",4402
"rain","rain",4398
"gon","gon",4387
"start","start",4363
"stand","stand",4358
"happy","happy",4336
"big","big",4333
"friends","friends",4318
"hope","hope",4283
"found","found",4281
"ready","ready",4281
"left","left",4267
"sexy","sexy",4235
"girls","girls",4206
"song","song",4183
"hands","hands",4162
"hand","hand",4148
"came","came",4147
"whoa","whoa",4106
"loves","loves",4104
"close","close",4098
"boogie","boogie",4079
"pain","pain",4061
"done","done",4057
"light","light",4055
"side","side",4037
"sometimes","sometimes",3995
"goes","goes",3949
"lonely","lonely",3921
"lie","lie",3921
"hurt","hurt",3913
"run","run",3901
"since","since",3883
"oooh","oooh",3874
"though","though",3866
"maybe","maybe",3865
"dont","dont",3808
"loving","loving",3807
"comes","comes",3785
"knows","knows",3778
"smile","smile",3754
"bump","bump",3730
"many","many",3720
"mean","mean",3708
"beat","beat",3699
"thinking","thinking",3693
"ride","ride",3692
"friend","friend",3667
"fall","fall",3659
"may","may",3650
"understand","understand",3639
"fly","fly",3639
"bout","bout",3577
"alright","alright",3565
"bridge","bridge",3563
"words","words",3539
"kind","kind",3507
"party","party",3503
"lovin","lovin",3502
"dream","dream",3489
"watch","watch",3487
"huh","huh",3475
"til","til",3472
"sure","sure",3451
"strong","strong",3428
"club","club",3415
"sun","sun",3414
"tears","tears",3386
"round","round",3359
"dreams","dreams",3289
"lose","lose",3267
"fool","fool",3262
"loved","loved",3237
"coming","coming",3213
"step","step",3162
"music","music",3161
"deep","deep",3114
"door","door",3111
"save","save",3092
"bed","bed",3087
"high","high",3074
"next","next",3063
"nights","nights",3062
"waiting","waiting",3022
"honey","honey",3021
"hit","hit",3015
"part","part",3007
"darling","darling",2987
"old","old",2982
"whole","whole",2974
"seems","seems",2971
"living","living",2968
"lover","lover",2964
"goodbye","goodbye",2959
"cool","cool",2934
"open","open",2933
"beautiful","beautiful",2932
"sing","sing",2928
"morning","morning",2925
"chance","chance",2923
"young","young",2920
"control","control",2910
"late","late",2890
"set","set",2888
"guess","guess",2882
"god","god",2874
"boom","boom",2867
"listen","listen",2863
"heard","heard",2831
"goin","goin",2825
"die","die",2808
"don’t","don’t",2806
"power","power",2780
"easy","easy",2758
"ask","ask",2748
"’s","’s",2728
"sad","sad",2717
"line","line",2703
"boys","boys",2697
"lost","lost",2684
"far","far",2680
"sky","sky",2679
"river","river",2678
"feels","feels",2669
"tight","tight",2653
"lookin","lookin",2637
"low","low",2635
"phone","phone",2589
"gettin","gettin",2586
"tryin","tryin",2584
"tried","tried",2584
"making","making",2579
"floor","floor",2554
"fade","fade",2548
"feelin","feelin",2547
"promise","promise",2545
"trying","trying",2541
"took","took",2534
"sorry","sorry",2519
"kinda","kinda",2519
"fire","fire",2510
"throw","throw",2503
"air","air",2483
"game","game",2478
"talkin","talkin",2455
"damn","damn",2455
"reason","reason",2454
"ohh","ohh",2429
"house","house",2423
"celebrate","celebrate",2382
"saying","saying",2368
"town","town",2366
"hate","hate",2364
"forget","forget",2362
"talking","talking",2354
"thinkin","thinkin",2342
"whatever","whatever",2339
"treat","treat",2323
"spend","spend",2314
"mad","mad",2314
"’m","’m",2293
"mama","mama",2281
"seen","seen",2279
"blue","blue",2274
"cha","cha",2271
"share","share",2252
"cold","cold",2238
"thats","thats",2235
"ladies","ladies",2234
"check","check",2233
"woo","woo",2225
"fun","fun",2222
"sleep","sleep",2199
"joy","joy",2197
"cant","cant",2196
"pop","pop",2171
"saw","saw",2158
"behind","behind",2151
"thank","thank",2136
"michael","michael",2085
"wanted","wanted",2079
"nothin","nothin",2058
"getting","getting",2055
"nice","nice",2053
"gave","gave",2050
"seem","seem",2045
"gets","gets",2042
"road","road",2042
"today","today",2029
"lord","lord",2026
"pretty","pretty",2023
"caught","caught",2016
"bye","bye",2015
"soon","soon",2014
"guy","guy",2007
"hook","hook",2004
"lay","lay",1999
"lionel","lionel",1962
"wants","wants",1943
"ahead","ahead",1941
"telling","telling",1940
"however","however",1925
"pray","pray",1914
"standing","standing",1903
"takes","takes",1900
"called","called",1894
"wonder","wonder",1890
"moment","moment",1888
"three","three",1878
"shine","shine",1878
"truth","truth",1865
"felt","felt",1860
"trust","trust",1857
"keeps","keeps",1856
"needs","needs",1842
"halo","halo",1840
"star","star",1839
"roll","roll",1831
"hide","hide",1829
"hurts","hurts",1821
"brother","brother",1806
"amp","amp",1799
"falling","falling",1795
"bum","bum",1786
"ooo","ooo",1775
"minute","minute",1772
"lights","lights",1764
"glad","glad",1761
"heaven","heaven",1757
"went","went",1754
"worry","worry",1749
"swear","swear",1745
"along","along",1744
"�t","�t",1739
"running","running",1737
"drop","drop",1734
"ring","ring",1728
"fight","fight",1728
"’ll","’ll",1722
"aaah","aaah",1710
"doo","doo",1709
"street","street",1708
"special","special",1708
"apart","apart",1694
"lot","lot",1692
"comin","comin",1692
"turned","turned",1691
"full","full",1690
"drive","drive",1684
"yea","yea",1684
"handle","handle",1676
"blow","blow",1673
"years","years",1669
"top","top",1664
"makin","makin",1659
"wit","wit",1653
"feet","feet",1649
"second","second",1646
"tired","tired",1644
"near","near",1636
"doin","doin",1624
"broken","broken",1605
"whenever","whenever",1605
"bounce","bounce",1605
"meet","meet",1596
"known","known",1596
"crying","crying",1593
"eye","eye",1580
"warm","warm",1578
"wall","wall",1577
"started","started",1571
"broke","broke",1568
"lies","lies",1568
"already","already",1567
"lovers","lovers",1564
"radio","radio",1561
"front","front",1557
"hair","hair",1549
"whatcha","whatcha",1545
"pay","pay",1544
"fast","fast",1544
"word","word",1542
"car","car",1541
"dancing","dancing",1532
"use","use",1530
"mmm","mmm",1526
"solo","solo",1518
"shit","shit",1514
"room","room",1507
"ground","ground",1502
"calling","calling",1493
"sound","sound",1489
"groove","groove",1487
"somehow","somehow",1487
"somethin","somethin",1485
"darlin","darlin",1470
"taking","taking",1464
"belong","belong",1462
"fat","fat",1461
"reach","reach",1453
"ways","ways",1446
"forth","forth",1442
"cryin","cryin",1441
"ohhh","ohhh",1441
"magic","magic",1438
"black","black",1432
"dancin","dancin",1430
"blame","blame",1429
"playing","playing",1423
"doubt","doubt",1421
"pull","pull",1421
"funny","funny",1417
"worth","worth",1417
"ooooh","ooooh",1414
"ass","ass",1411
"afraid","afraid",1409
"rest","rest",1409
"everyday","everyday",1409
"everywhere","everywhere",1404
"knees","knees",1402
"needed","needed",1395
"speak","speak",1390
"met","met",1383
"thang","thang",1383
"says","says",1377
"higher","higher",1373
"hearts","hearts",1372
"walked","walked",1371
"runnin","runnin",1367
"jermaine","jermaine",1365
"almost","almost",1355
"closer","closer",1352
"diana","diana",1349
"bit","bit",1343
"moving","moving",1341
"tomorrow","tomorrow",1336
"played","played",1335
