"","Word","Freq"
"love","love",5216
"yuh","yuh",4110
"dem","dem",3458
"man","man",3260
"girl","girl",3150
"gal","gal",3058
"like","like",3053
"one","one",2724
"baby","baby",2697
"make","make",2541
"red","red",2492
"long","long",2481
"want","want",2479
"come","come",2216
"say","say",2205
"feel","feel",2193
"now","now",2190
"time","time",1937
"way","way",1811
"gonna","gonna",1621
"need","need",1602
"rompe","rompe",1458
"give","give",1437
"wine","wine",1434
"yeah","yeah",1430
"right","right",1425
"every","every",1402
"wanna","wanna",1401
"girls","girls",1393
"little","little",1391
"nah","nah",1386
"never","never",1384
"back","back",1268
"call","call",1263
"cause","cause",1181
"hey","hey",1146
"pon","pon",1117
"heart","heart",1110
"dig","dig",1012
"day","day",1002
"angel","angel",1000
"things","things",988
"fire","fire",986
"que","que",970
"still","still",924
"lover","lover",903
"good","good",897
"inna","inna",870
"murderer","murderer",840
"nuh","nuh",839
"another","another",803
"night","night",802
"gone","gone",800
"close","close",784
"dance","dance",784
"look","look",774
"thing","thing",766
"real","real",757
"upon","upon",749
"life","life",737
"fab","fab",714
"turn","turn",707
"mind","mind",701
"rock","rock",697
"around","around",688
"show","show",676
"ooh","ooh",662
"hold","hold",656
"bad","bad",644
"light","light",637
"floor","floor",630
"burning","burning",616
"babe","babe",612
"sweat","sweat",612
"people","people",609
"doo","doo",602
"believe","believe",599
"darling","darling",594
"sweet","sweet",593
"buck","buck",590
"start","start",571
"sight","sight",568
"true","true",563
"hear","hear",552
"world","world",543
"looking","looking",541
"till","till",540
"really","really",539
"said","said",535
"kind","kind",534
"find","find",531
"electric","electric",523
"woman","woman",522
"loving","loving",515
"run","run",515
"friend","friend",510
"hand","hand",509
"cry","cry",508
"ever","ever",507
"please","please",501
"name","name",497
"mine","mine",491
"boom","boom",491
"think","think",490
"jump","jump",486
"place","place",485
"fine","fine",482
"live","live",477
"used","used",476
"yes","yes",476
"seh","seh",468
"must","must",466
"two","two",464
"big","big",461
"carolina","carolina",459
"done","done",454
"help","help",453
"kiss","kiss",443
"watch","watch",441
"gimme","gimme",432
"gallang","gallang",432
"touch","touch",431
"brother","brother",431
"ready","ready",421
"body","body",419
"mrloverman","mrloverman",418
"boy","boy",413
"repeat","repeat",410
"together","together",408
"prowl","prowl",408
"welcome","welcome",406
"cool","cool",406
"sugar","sugar",405
"bout","bout",404
"leave","leave",403
"stay","stay",402
"break","break",401
"daddy","daddy",396
"bottle","bottle",395
"push","push",394
"prance","prance",391
"play","play",389
"waan","waan",388
"bust","bust",384
"ella","ella",381
"gots","gots",380
"moe","moe",380
"dutty","dutty",380
"shake","shake",377
"whole","whole",373
"goes","goes",371
"yah","yah",371
"money","money",366
"til","til",364
"care","care",364
"young","young",363
"head","head",362
"higher","higher",361
"pretty","pretty",360
"face","face",359
"sim","sim",356
"simma","simma",356
"avenue","avenue",352
"suicidal","suicidal",352
"left","left",351
"away","away",350
"everybody","everybody",350
"comes","comes",348
"miss","miss",347
"alright","alright",344
"air","air",337
"talk","talk",336
"chuck","chuck",332
"catch","catch",330
"sun","sun",329
"hard","hard",326
"eyes","eyes",326
"shorty","shorty",325
"hour","hour",324
"nananana","nananana",324
"gotta","gotta",323
