"","Word","Freq"
"love","love",2124
"baby","baby",1912
"bum","bum",1377
"white","white",921
"satellite","satellite",663
"day","day",647
"way","way",591
"light","light",578
"like","like",549
"never","never",528
"time","time",528
"one","one",506
"men","men",496
"heart","heart",493
"come","come",490
"find","find",453
"waiting","waiting",443
"now","now",439
"yeah","yeah",410
"leave","leave",392
"imagine","imagine",378
"happy","happy",367
"things","things",362
"good","good",342
"said","said",340
"every","every",333
"long","long",332
"gonna","gonna",331
"gone","gone",330
"poor","poor",317
"people","people",314
"heat","heat",283
"losing","losing",280
"make","make",274
"look","look",271
"paul","paul",270
"feel","feel",270
"stop","stop",267
"everything","everything",265
"little","little",264
"cause","cause",256
"man","man",256
"beginnings","beginnings",248
"fortune","fortune",248
"ever","ever",247
"say","say",242
"away","away",240
"kind","kind",239
"changes","changes",239
"tall","tall",237
"give","give",224
"washed","washed",224
"remember","remember",222
"clean","clean",220
"start","start",217
"often","often",217
"fall","fall",215
"jesus","jesus",214
"glad","glad",213
"mind","mind",211
"mine","mine",205
"till","till",199
"night","night",195
"world","world",193
"groovy","groovy",190
"heartbeat","heartbeat",190
"yes","yes",186
"eyes","eyes",185
"put","put",184
"drive","drive",183
"came","came",183
"lucky","lucky",180
"straight","straight",180
"back","back",178
"always","always",174
"want","want",171
"watch","watch",169
"michael","michael",168
"please","please",167
"left","left",167
"right","right",166
"girl","girl",162
"life","life",161
"still","still",161
"game","game",160
"thing","thing",158
"forever","forever",156
"siedah","siedah",156
"satellites","satellites",153
"watched","watched",153
"true","true",152
"hard","hard",152
"home","home",151
"hand","hand",149
"loving","loving",143
"without","without",138
"stand","stand",135
"boy","boy",132
"best","best",130
"lot","lot",130
"knows","knows",128
"knew","knew",126
"magic","magic",126
"loves","loves",124
"told","told",124
"hey","hey",123
"name","name",117
"doubt","doubt",117
"another","another",116
"live","live",116
"made","made",115
"business","business",114
"whoah","whoah",114
"lights","lights",113
"hear","hear",113
"soon","soon",110
"need","need",110
"someone","someone",110
"great","great",108
"lose","lose",108
"money","money",105
"nobodys","nobodys",105
"mad","mad",105
"john","john",104
"stake","stake",103
"alone","alone",103
"claim","claim",103
"harry","harry",102
"mark","mark",102
"skies","skies",102
"blue","blue",101
"show","show",101
"clear","clear",101
"ampquotpineapple","ampquotpineapple",98
"pineapple","pineapple",98
"final","final",98
"wish","wish",95
"bears","bears",95
"belongs","belongs",95
"loud","loud",95
"played","played",94
"new","new",94
"around","around",93
"face","face",93
"anything","anything",93
"die","die",93
"song","song",92
"dance","dance",92
"ahhaha","ahhaha",90
"sweet","sweet",90
"paradise","paradise",90
"parking","parking",90
"paved","paved",90
"commin","commin",90
"mars","mars",89
"shalalalala","shalalalala",88
"woman","woman",88
"wrong","wrong",88
"going","going",88
"sing","sing",87
"surely","surely",87
"anger","anger",86
"princess","princess",84
"speak","speak",84
"took","took",84
"nothing","nothing",83
"makes","makes",82
"think","think",80
"slip","slip",80
"care","care",80
"blind","blind",80
"fate","fate",80
"frame","frame",80
"resigned","resigned",80
"goodness","goodness",80
"toes","toes",80
"strong","strong",78
"ask","ask",78
"big","big",76
"fire","fire",76
"sweetest","sweetest",75
"really","really",75
"old","old",75
"seem","seem",75
"wanna","wanna",73
"tree","tree",72
"able","able",72
"run","run",71
"comes","comes",71
"hold","hold",70
"first","first",70
"since","since",70
"voice","voice",68
"aint","aint",67
"sad","sad",67
"past","past",67
"knees","knees",65
"gettin","gettin",65
"listen","listen",64
"minute","minute",63
"hour","hour",63
"though","though",63
"christmas","christmas",62
"call","call",62
"empires","empires",62
"rich","rich",62
"trouble","trouble",62
"heard","heard",61
"soul","soul",59
"behind","behind",59
"runs","runs",59
"red","red",59
"sherman","sherman",58
"chips","chips",58
"dream","dream",57
"stay","stay",57
"motion","motion",57
"realized","realized",57
"anyone","anyone",57
"blood","blood",57
"ampquot","ampquot",56
"bay","bay",56
"marry","marry",56
"princessampquot","princessampquot",56
"queenampquot","queenampquot",56
"ukulele","ukulele",56
"street","street",56
"god","god",56
"funky","funky",56
"nassaus","nassaus",56
"shining","shining",56
"ghetto","ghetto",56
"needs","needs",56
"yea","yea",56
"guy","guy",56
"dreaming","dreaming",56
"awe","awe",55
"smile","smile",54
"tomorrow","tomorrow",54
"cheated","cheated",54
"ohhhh","ohhhh",54
"glory","glory",54
"hallelujah","hallelujah",54
"presence","presence",54
"surrounded","surrounded",54
"pain","pain",53
"sun","sun",52
"bold","bold",51
"cars","cars",51
"filled","filled",51
"monday","monday",51
"parkin","parkin",51
"thursday","thursday",51
"tuesday","tuesday",51
"wednesday","wednesday",51
"later","later",51
"dreams","dreams",51
"funny","funny",51
"somebody","somebody",51
"far","far",51
"sound","sound",50
"bad","bad",50
"daddy","daddy",50
"ten","ten",50
"bout","bout",50
"touch","touch",50
"sure","sure",49
"ampampquot","ampampquot",48
"everybody","everybody",47
"bright","bright",47
"pretty","pretty",47
"mess","mess",47
"sit","sit",47
"believe","believe",47
"times","times",47
"wait","wait",46
"last","last",46
"wonder","wonder",46
"fight","fight",46
"son","son",46
"side","side",46
"gods","gods",46
"chalk","chalk",45
"kingsize","kingsize",45
"sidewalk","sidewalk",45
"tears","tears",45
"cry","cry",45
"plays","plays",44
"pray","pray",44
"insane","insane",44
"calls","calls",43
"bar","bar",43
"boys","boys",43
"feet","feet",43
"door","door",43
"talkin","talkin",43
"faces","faces",43
"hill","hill",42
"seenampquot","seenampquot",42
"act","act",42
"story","story",42
"whiskey","whiskey",42
"birthday","birthday",42
"circles","circles",42
"dying","dying",42
"expression","expression",42
"nowhere","nowhere",42
"worn","worn",42
"ahhh","ahhh",42
"driven","driven",42
"seemed","seemed",42
"kiss","kiss",41
"shine","shine",41
"laughed","laughed",41
"looks","looks",41
"arms","arms",40
"tender","tender",40
"defender","defender",40
"news","news",40
"band","band",40
"battle","battle",40
"five","five",40
"flame","flame",40
"futile","futile",40
"gambling","gambling",40
"mar","mar",40
"memories","memories",40
"odds","odds",40
"professed","professed",40
"profound","profound",40
"self","self",40
"’re","’re",40
"champion","champion",40
"frozen","frozen",40
"goodbye","goodbye",40
"holding","holding",40
"theone","theone",40
"brain","brain",40
"kill","kill",40
"shapin","shapin",40
"shaping","shaping",40
"fun","fun",39
"full","full",39
"repeat","repeat",39
"lips","lips",39
"even","even",38
"asking","asking",38
"rule","rule",38
"extended","extended",38
"beating","beating",38
"bore","bore",38
"cavemen","cavemen",38
"fighting","fighting",38
"film","film",38
"focus","focus",38
"freakiest","freakiest",38
"hall","hall",38
"lawman","lawman",38
"saddning","saddning",38
"sailors","sailors",38
"selling","selling",38
"try","try",37
"standing","standing",37
"thought","thought",37
"school","school",36
"sins","sins",36
"meet","meet",36
"clever","clever",36
"fashioned","fashioned",36
"line","line",36
"social","social",36
"whirl","whirl",36
"hee","hee",36
"nooo","nooo",36
"ohhhhh","ohhhhh",36
"worship","worship",36
"went","went",35
"morning","morning",35
"change","change",35
"moved","moved",35
"hair","hair",34
"taken","taken",34
"birds","birds",34
"screen","screen",34
"seen","seen",33
"mean","mean",33
