"","Word","Freq"
"love","love",50386
"like","like",27799
"now","now",26646
"baby","baby",24167
"time","time",23271
"yeah","yeah",21202
"one","one",20234
"never","never",19244
"come","come",18734
"say","say",17900
"gonna","gonna",16794
"want","want",16784
"way","way",15849
"heart","heart",14869
"make","make",14529
"away","away",14502
"night","night",14227
"feel","feel",13901
"back","back",13324
"right","right",13047
"cause","cause",12247
"life","life",11405
"wanna","wanna",11291
"little","little",10726
"girl","girl",10581
"need","need",10378
"give","give",10052
"said","said",9856
"man","man",9848
"day","day",9822
"good","good",9651
"around","around",9579
"long","long",9353
"world","world",8936
"aint","aint",8845
"think","think",8768
"hey","hey",8621
"eyes","eyes",8603
"every","every",7892
"still","still",7877
"find","find",7524
"look","look",7093
"home","home",6883
"always","always",6756
"hold","hold",6751
"mind","mind",6726
"really","really",6699
"ever","ever",6529
"gone","gone",6469
"things","things",6285
"stop","stop",6243
"tonight","tonight",6100
"rock","rock",6096
"better","better",5952
"believe","believe",5822
"dance","dance",5794
"going","going",5682
"cry","cry",5645
"try","try",5514
"thing","thing",5492
"hear","hear",5359
"turn","turn",5250
"alone","alone",5217
"everything","everything",5179
"live","live",5169
"run","run",5032
"walk","walk",5014
"nothing","nothing",5001
"another","another",4987
"something","something",4924
"wrong","wrong",4900
"ooh","ooh",4864
"hard","hard",4850
"face","face",4728
"head","head",4703
"hand","hand",4668
"stay","stay",4594
"gotta","gotta",4542
"left","left",4496
"please","please",4492
"far","far",4484
"inside","inside",4482
"sweet","sweet",4472
"old","old",4472
"without","without",4450
"mine","mine",4370
"bad","bad",4301
"people","people",4297
"leave","leave",4289
"place","place",4287
"light","light",4158
"roll","roll",4146
"someone","someone",4133
"put","put",4123
"name","name",4123
"last","last",4059
"woman","woman",4044
"true","true",4041
"show","show",4040
"dream","dream",3986
"change","change",3955
"free","free",3900
"break","break",3896
"sun","sun",3892
"call","call",3800
"new","new",3786
"even","even",3714
"yes","yes",3702
"together","together",3589
"fall","fall",3588
"forever","forever",3583
"town","town",3557
"high","high",3530
"care","care",3511
"made","made",3504
"goodbye","goodbye",3469
"alright","alright",3424
"looking","looking",3400
"pain","pain",3373
"big","big",3365
"knows","knows",3355
"dreams","dreams",3337
"remember","remember",3312
"found","found",3310
"lost","lost",3303
"lonely","lonely",3299
"play","play",3274
"blue","blue",3273
"wish","wish",3258
"money","money",3241
"feeling","feeling",3202
"real","real",3197
